Support,Pattern,Cluster Sequence
11,establish develop implement → reconcili refus resum → cessat continu mediat → cessat continu mediat,43 → 30 → 38 → 38
11,establish develop implement → reconcili refus resum → agreement implement reach → commit agreement committe,43 → 30 → 27 → 11
11,establish develop implement → reconcili refus resum → agreement implement reach → take place mediat,43 → 30 → 27 → 4
11,establish develop implement → reconcili refus resum → agreement implement reach → govern state take,43 → 30 → 27 → 20
11,establish develop implement → reconcili refus resum → agreement implement reach → establish develop implement,43 → 30 → 27 → 43
11,establish develop implement → reconcili refus resum → agreement implement reach → agreement implement reach → agreement implement reach,43 → 30 → 27 → 27 → 27
11,establish develop implement → reconcili refus resum → sudane sudan negoti,43 → 30 → 6
11,establish develop implement → reconcili refus resum → juli meet immedi,43 → 30 → 21
11,establish develop implement → reconcili refus resum → negoti take place → commit agreement committe,43 → 30 → 18 → 11
11,establish develop implement → reconcili refus resum → negoti take place → cessat continu mediat,43 → 30 → 18 → 38
11,establish develop implement → reconcili refus resum → negoti take place → effort progress lead,43 → 30 → 18 → 1
11,establish develop implement → reconcili refus resum → reconcili refus resum → govern state take,43 → 30 → 30 → 20
11,establish develop implement → reconcili refus resum → peac talk confer,43 → 30 → 46
11,establish develop implement → reconcili refus resum → process take place,43 → 30 → 2
11,establish develop implement → reconcili refus resum → fight take fighter,43 → 30 → 3
11,establish develop implement → octob septemb decemb → commit agreement committe,43 → 13 → 11
11,establish develop implement → octob septemb decemb → take place mediat → take place mediat,43 → 13 → 4 → 4
11,establish develop implement → octob septemb decemb → coalit strateg launch,43 → 13 → 7
11,establish develop implement → octob septemb decemb → govern congoles congo,43 → 13 → 44
11,establish develop implement → lead ceasefir peac → take place mediat → take place mediat,43 → 8 → 4 → 4
11,establish develop implement → lead ceasefir peac → cessat continu mediat → cessat continu mediat,43 → 8 → 38 → 38
11,establish develop implement → lead ceasefir peac → juli meet immedi,43 → 8 → 21
11,establish develop implement → lead ceasefir peac → govern state take → cessat continu mediat,43 → 8 → 20 → 38
11,establish develop implement → lead ceasefir peac → region nation tribe,43 → 8 → 17
11,establish develop implement → particip meet confer → agreement implement reach,43 → 10 → 27
11,establish develop implement → particip meet confer → establish develop implement,43 → 10 → 43
11,establish develop implement → negoti take place → parti meet reach → effort progress lead,43 → 18 → 39 → 1
11,establish develop implement → negoti take place → cessat continu mediat → cessat continu mediat,43 → 18 → 38 → 38
11,establish develop implement → negoti take place → cessat continu mediat → negoti take place,43 → 18 → 38 → 18
11,establish develop implement → negoti take place → agreement implement reach → establish develop implement,43 → 18 → 27 → 43
11,establish develop implement → negoti take place → take place mediat → negoti take place → take place mediat,43 → 18 → 4 → 18 → 4
11,establish develop implement → negoti take place → take place mediat → coalit strateg launch,43 → 18 → 4 → 7
11,establish develop implement → negoti take place → take place mediat → take place mediat → take place mediat,43 → 18 → 4 → 4 → 4
11,establish develop implement → negoti take place → take place mediat → take place mediat → agreement implement reach,43 → 18 → 4 → 4 → 27
11,establish develop implement → negoti take place → take place mediat → cessat continu mediat,43 → 18 → 4 → 38
11,establish develop implement → negoti take place → take place mediat → meet take place,43 → 18 → 4 → 22
11,establish develop implement → negoti take place → establish develop implement → negoti take place,43 → 18 → 43 → 18
11,establish develop implement → negoti take place → agre end set,43 → 18 → 35
11,establish develop implement → negoti take place → commit agreement committe → sudane sudan negoti,43 → 18 → 11 → 6
11,establish develop implement → negoti take place → commit agreement committe → establish develop implement,43 → 18 → 11 → 43
11,establish develop implement → negoti take place → meet take place → cessat continu mediat,43 → 18 → 22 → 38
11,establish develop implement → negoti take place → meet take place → parti meet reach,43 → 18 → 22 → 39
11,establish develop implement → negoti take place → negoti take place → establish develop implement → agreement implement reach,43 → 18 → 18 → 43 → 27
11,establish develop implement → negoti take place → negoti take place → commit agreement committe,43 → 18 → 18 → 11
11,establish develop implement → negoti take place → negoti take place → govern state take → agreement implement reach,43 → 18 → 18 → 20 → 27
11,establish develop implement → negoti take place → negoti take place → reconcili refus resum → agreement implement reach,43 → 18 → 18 → 30 → 27
11,establish develop implement → negoti take place → negoti take place → effort progress lead,43 → 18 → 18 → 1
11,establish develop implement → negoti take place → negoti take place → negoti take place → establish develop implement,43 → 18 → 18 → 18 → 43
11,establish develop implement → negoti take place → negoti take place → take place mediat → agreement implement reach,43 → 18 → 18 → 4 → 27
11,establish develop implement → negoti take place → reconcili refus resum → agreement implement reach,43 → 18 → 30 → 27
11,establish develop implement → negoti take place → effort progress lead → agreement implement reach,43 → 18 → 1 → 27
11,establish develop implement → negoti take place → hold confer elect,43 → 18 → 49
11,establish develop implement → negoti take place → attend confer summit,43 → 18 → 47
11,establish develop implement → negoti take place → region nation tribe,43 → 18 → 17
11,establish develop implement → govern congoles congo → take place mediat,43 → 44 → 4
11,establish develop implement → govern congoles congo → establish develop implement → agreement implement reach,43 → 44 → 43 → 27
11,establish develop implement → govern congoles congo → govern state take,43 → 44 → 20
11,establish develop implement → govern congoles congo → reconcili refus resum,43 → 44 → 30
11,establish develop implement → parti meet reach → agreement implement reach → commit agreement committe,43 → 39 → 27 → 11
11,establish develop implement → parti meet reach → take place mediat → commit agreement committe,43 → 39 → 4 → 11
11,establish develop implement → parti meet reach → take place mediat → negoti take place,43 → 39 → 4 → 18
11,establish develop implement → parti meet reach → take place mediat → cessat continu mediat,43 → 39 → 4 → 38
11,establish develop implement → parti meet reach → commit agreement committe → establish develop implement,43 → 39 → 11 → 43
11,establish develop implement → parti meet reach → tension violenc continu,43 → 39 → 24
11,establish develop implement → parti meet reach → lead ceasefir peac,43 → 39 → 8
11,establish develop implement → parti meet reach → negoti take place → negoti take place,43 → 39 → 18 → 18
11,establish develop implement → parti meet reach → negoti take place → establish develop implement,43 → 39 → 18 → 43
11,establish develop implement → parti meet reach → negoti take place → agreement implement reach,43 → 39 → 18 → 27
11,establish develop implement → nairobi uganda hold → establish develop implement,43 → 32 → 43
11,establish develop implement → ababa take meet → agreement implement reach,43 → 40 → 27
11,establish develop implement → attend confer summit → take place mediat,43 → 47 → 4
11,establish develop implement → attend confer summit → agreement implement reach,43 → 47 → 27
11,establish develop implement → lead agreement negoti → agreement implement reach,43 → 15 → 27
11,establish develop implement → govern state take → commit agreement committe → agreement implement reach,43 → 20 → 11 → 27
11,establish develop implement → govern state take → peac talk confer,43 → 20 → 46
11,establish develop implement → govern state take → sudane sudan negoti,43 → 20 → 6
11,establish develop implement → govern state take → negoti take place → coalit strateg launch,43 → 20 → 18 → 7
11,establish develop implement → govern state take → parti meet reach,43 → 20 → 39
11,establish develop implement → govern state take → octob septemb decemb,43 → 20 → 13
11,establish develop implement → govern state take → hold confer elect,43 → 20 → 49
11,establish develop implement → govern state take → meet turkana pokot,43 → 20 → 45
11,establish develop implement → govern state take → juli meet immedi,43 → 20 → 21
11,establish develop implement → govern state take → clash conflict arm,43 → 20 → 33
11,establish develop implement → meet turkana pokot → meet turkana pokot,43 → 45 → 45
11,establish develop implement → meet turkana pokot → negoti take place,43 → 45 → 18
11,establish develop implement → meet turkana pokot → peac hold attend,43 → 45 → 31
11,establish develop implement → sudane sudan negoti → sudane sudan negoti,43 → 6 → 6
11,establish develop implement → sudane sudan negoti → effort progress lead,43 → 6 → 1
11,establish develop implement → peac talk confer → lead ceasefir peac,43 → 46 → 8
11,establish develop implement → process take place → govern state take,43 → 2 → 20
11,establish develop implement → process take place → region nation tribe,43 → 2 → 17
11,establish develop implement → sign meet comprehen → agreement implement reach → cessat continu mediat,43 → 0 → 27 → 38
11,establish develop implement → sign meet comprehen → take place mediat → cessat continu mediat,43 → 0 → 4 → 38
11,establish develop implement → sign meet comprehen → process take place,43 → 0 → 2
11,establish develop implement → sign meet comprehen → cessat continu mediat → cessat continu mediat,43 → 0 → 38 → 38
11,establish develop implement → sign meet comprehen → coalit strateg launch,43 → 0 → 7
11,establish develop implement → sign meet comprehen → region nation tribe,43 → 0 → 17
11,establish develop implement → sign meet comprehen → juli meet immedi,43 → 0 → 21
11,establish develop implement → sign meet comprehen → meet take place → cessat continu mediat,43 → 0 → 22 → 38
11,establish develop implement → sign meet comprehen → meet take place → agreement implement reach,43 → 0 → 22 → 27
11,establish develop implement → region nation tribe → lead ceasefir peac,43 → 17 → 8
11,establish develop implement → region nation tribe → meet take place,43 → 17 → 22
11,establish develop implement → meet peac fulani,43 → 14
11,establish develop implement → februari januari hold → coalit strateg launch,43 → 19 → 7
11,establish develop implement → februari januari hold → cessat continu mediat,43 → 19 → 38
11,establish develop implement → februari januari hold → effort progress lead,43 → 19 → 1
11,establish develop implement → peac meet repres,43 → 26
11,take place mediat → establish develop implement → peac hold attend → cessat continu mediat,4 → 43 → 31 → 38
11,take place mediat → establish develop implement → meet take place → agreement implement reach,4 → 43 → 22 → 27
11,take place mediat → establish develop implement → take place mediat → establish develop implement → agreement implement reach,4 → 43 → 4 → 43 → 27
11,take place mediat → establish develop implement → take place mediat → cessat continu mediat → cessat continu mediat,4 → 43 → 4 → 38 → 38
11,take place mediat → establish develop implement → take place mediat → coalit strateg launch,4 → 43 → 4 → 7
11,take place mediat → establish develop implement → take place mediat → talk discuss take,4 → 43 → 4 → 48
11,take place mediat → establish develop implement → take place mediat → commit agreement committe,4 → 43 → 4 → 11
11,take place mediat → establish develop implement → take place mediat → negoti take place → agreement implement reach,4 → 43 → 4 → 18 → 27
11,take place mediat → establish develop implement → take place mediat → negoti take place → take place mediat,4 → 43 → 4 → 18 → 4
11,take place mediat → establish develop implement → take place mediat → negoti take place → negoti take place,4 → 43 → 4 → 18 → 18
11,take place mediat → establish develop implement → take place mediat → govern state take,4 → 43 → 4 → 20
11,take place mediat → establish develop implement → take place mediat → reconcili refus resum,4 → 43 → 4 → 30
11,take place mediat → establish develop implement → establish develop implement → establish develop implement → agreement implement reach,4 → 43 → 43 → 43 → 27
11,take place mediat → establish develop implement → cessat continu mediat → effort progress lead,4 → 43 → 38 → 1
11,take place mediat → establish develop implement → cessat continu mediat → establish develop implement → agreement implement reach,4 → 43 → 38 → 43 → 27
11,take place mediat → establish develop implement → cessat continu mediat → meet take place → cessat continu mediat,4 → 43 → 38 → 22 → 38
11,take place mediat → establish develop implement → cessat continu mediat → sign meet comprehen,4 → 43 → 38 → 0
11,take place mediat → establish develop implement → cessat continu mediat → negoti take place,4 → 43 → 38 → 18
11,take place mediat → establish develop implement → effort progress lead → take place mediat,4 → 43 → 1 → 4
11,take place mediat → establish develop implement → effort progress lead → agreement implement reach,4 → 43 → 1 → 27
11,take place mediat → establish develop implement → ceasefir take effect → take place mediat,4 → 43 → 25 → 4
11,take place mediat → establish develop implement → commit agreement committe → establish develop implement,4 → 43 → 11 → 43
11,take place mediat → establish develop implement → agreement implement reach → juli meet immedi,4 → 43 → 27 → 21
11,take place mediat → establish develop implement → agreement implement reach → reconcili refus resum,4 → 43 → 27 → 30
11,take place mediat → establish develop implement → agreement implement reach → govern state take,4 → 43 → 27 → 20
11,take place mediat → establish develop implement → agreement implement reach → lead ceasefir peac,4 → 43 → 27 → 8
11,take place mediat → establish develop implement → agre end set → establish develop implement,4 → 43 → 35 → 43
11,take place mediat → establish develop implement → agre end set → take place mediat,4 → 43 → 35 → 4
11,take place mediat → establish develop implement → juli meet immedi → cessat continu mediat,4 → 43 → 21 → 38
11,take place mediat → establish develop implement → juli meet immedi → agreement implement reach,4 → 43 → 21 → 27
11,take place mediat → establish develop implement → juli meet immedi → establish develop implement,4 → 43 → 21 → 43
11,take place mediat → establish develop implement → lead ceasefir peac → lead ceasefir peac,4 → 43 → 8 → 8
11,take place mediat → establish develop implement → negoti take place → parti meet reach,4 → 43 → 18 → 39
11,take place mediat → establish develop implement → negoti take place → take place mediat → take place mediat,4 → 43 → 18 → 4 → 4
11,take place mediat → establish develop implement → negoti take place → commit agreement committe,4 → 43 → 18 → 11
11,take place mediat → establish develop implement → negoti take place → negoti take place → negoti take place,4 → 43 → 18 → 18 → 18
11,take place mediat → establish develop implement → negoti take place → effort progress lead,4 → 43 → 18 → 1
11,take place mediat → establish develop implement → negoti take place → govern state take,4 → 43 → 18 → 20
11,take place mediat → establish develop implement → negoti take place → meet take place,4 → 43 → 18 → 22
11,take place mediat → establish develop implement → parti meet reach → cessat continu mediat,4 → 43 → 39 → 38
11,take place mediat → establish develop implement → parti meet reach → agreement implement reach,4 → 43 → 39 → 27
11,take place mediat → establish develop implement → parti meet reach → effort progress lead,4 → 43 → 39 → 1
11,take place mediat → establish develop implement → parti meet reach → negoti take place,4 → 43 → 39 → 18
11,take place mediat → establish develop implement → reconcili refus resum → take place mediat,4 → 43 → 30 → 4
11,take place mediat → establish develop implement → reconcili refus resum → establish develop implement,4 → 43 → 30 → 43
11,take place mediat → establish develop implement → reconcili refus resum → cessat continu mediat,4 → 43 → 30 → 38
11,take place mediat → establish develop implement → octob septemb decemb → effort progress lead,4 → 43 → 13 → 1
11,take place mediat → establish develop implement → govern state take → govern state take,4 → 43 → 20 → 20
11,take place mediat → establish develop implement → sign meet comprehen → cessat continu mediat,4 → 43 → 0 → 38
11,take place mediat → peac hold attend → cessat continu mediat → meet take place,4 → 31 → 38 → 22
11,take place mediat → peac hold attend → cessat continu mediat → agreement implement reach,4 → 31 → 38 → 27
11,take place mediat → peac hold attend → effort progress lead,4 → 31 → 1
11,take place mediat → peac hold attend → commit agreement committe,4 → 31 → 11
11,take place mediat → peac hold attend → sign meet comprehen,4 → 31 → 0
11,take place mediat → peac hold attend → lead ceasefir peac,4 → 31 → 8
11,take place mediat → meet take place → talk discuss take → take place mediat,4 → 22 → 48 → 4
11,take place mediat → meet take place → talk discuss take → effort progress lead,4 → 22 → 48 → 1
11,take place mediat → meet take place → hold confer elect → agreement implement reach,4 → 22 → 49 → 27
11,take place mediat → meet take place → group team take,4 → 22 → 41
11,take place mediat → meet take place → take place mediat → establish develop implement → establish develop implement,4 → 22 → 4 → 43 → 43
11,take place mediat → meet take place → take place mediat → take place mediat → effort progress lead,4 → 22 → 4 → 4 → 1
11,take place mediat → meet take place → take place mediat → take place mediat → take place mediat,4 → 22 → 4 → 4 → 4
11,take place mediat → meet take place → take place mediat → meet alreadi take,4 → 22 → 4 → 9
11,take place mediat → meet take place → take place mediat → meet take place → meet take place,4 → 22 → 4 → 22 → 22
11,take place mediat → meet take place → take place mediat → meet take place → meet take place → meet take place,4 → 22 → 4 → 22 → 22 → 22
11,take place mediat → meet take place → take place mediat → meet take place → agreement implement reach,4 → 22 → 4 → 22 → 27
11,take place mediat → meet take place → take place mediat → februari januari hold,4 → 22 → 4 → 19
11,take place mediat → meet take place → take place mediat → reconcili refus resum,4 → 22 → 4 → 30
11,take place mediat → meet take place → establish develop implement → cessat continu mediat → agreement implement reach,4 → 22 → 43 → 38 → 27
11,take place mediat → meet take place → establish develop implement → effort progress lead,4 → 22 → 43 → 1
11,take place mediat → meet take place → establish develop implement → meet take place,4 → 22 → 43 → 22
11,take place mediat → meet take place → establish develop implement → parti meet reach,4 → 22 → 43 → 39
11,take place mediat → meet take place → establish develop implement → meet turkana pokot,4 → 22 → 43 → 45
11,take place mediat → meet take place → cessat continu mediat → cessat continu mediat → cessat continu mediat,4 → 22 → 38 → 38 → 38
11,take place mediat → meet take place → cessat continu mediat → effort progress lead,4 → 22 → 38 → 1
11,take place mediat → meet take place → cessat continu mediat → meet take place,4 → 22 → 38 → 22
11,take place mediat → meet take place → cessat continu mediat → parti meet reach,4 → 22 → 38 → 39
11,take place mediat → meet take place → effort progress lead → meet take place,4 → 22 → 1 → 22
11,take place mediat → meet take place → effort progress lead → octob septemb decemb,4 → 22 → 1 → 13
11,take place mediat → meet take place → meet take place → juli meet immedi,4 → 22 → 22 → 21
11,take place mediat → meet take place → meet take place → parti meet reach,4 → 22 → 22 → 39
11,take place mediat → meet take place → meet take place → octob septemb decemb,4 → 22 → 22 → 13
11,take place mediat → meet take place → meet take place → effort progress lead,4 → 22 → 22 → 1
11,take place mediat → meet take place → peac hold attend → cessat continu mediat,4 → 22 → 31 → 38
11,take place mediat → meet take place → agreement implement reach → take place mediat,4 → 22 → 27 → 4
11,take place mediat → meet take place → agreement implement reach → take place mediat → take place mediat,4 → 22 → 27 → 4 → 4
11,take place mediat → meet take place → agreement implement reach → establish develop implement,4 → 22 → 27 → 43
11,take place mediat → meet take place → agreement implement reach → agreement implement reach,4 → 22 → 27 → 27
11,take place mediat → meet take place → agre end set → take place mediat,4 → 22 → 35 → 4
11,take place mediat → meet take place → agre end set → agreement implement reach,4 → 22 → 35 → 27
11,take place mediat → meet take place → juli meet immedi → establish develop implement,4 → 22 → 21 → 43
11,take place mediat → meet take place → juli meet immedi → coalit strateg launch,4 → 22 → 21 → 7
11,take place mediat → meet take place → juli meet immedi → talk discuss take,4 → 22 → 21 → 48
11,take place mediat → meet take place → juli meet immedi → take place mediat → take place mediat,4 → 22 → 21 → 4 → 4
11,take place mediat → meet take place → juli meet immedi → juli meet immedi,4 → 22 → 21 → 21
11,take place mediat → meet take place → juli meet immedi → agreement implement reach,4 → 22 → 21 → 27
11,take place mediat → meet take place → juli meet immedi → effort progress lead,4 → 22 → 21 → 1
11,take place mediat → meet take place → fight take fighter,4 → 22 → 3
11,take place mediat → meet take place → parti meet reach → parti meet reach,4 → 22 → 39 → 39
11,take place mediat → meet take place → parti meet reach → negoti take place,4 → 22 → 39 → 18
11,take place mediat → meet take place → govern state take → negoti take place,4 → 22 → 20 → 18
11,take place mediat → meet take place → ababa take meet,4 → 22 → 40
11,take place mediat → meet take place → negoti take place → take place mediat → meet take place,4 → 22 → 18 → 4 → 22
11,take place mediat → meet take place → negoti take place → take place mediat → parti meet reach,4 → 22 → 18 → 4 → 39
11,take place mediat → meet take place → negoti take place → take place mediat → effort progress lead,4 → 22 → 18 → 4 → 1
11,take place mediat → meet take place → negoti take place → parti meet reach → effort progress lead,4 → 22 → 18 → 39 → 1
11,take place mediat → meet take place → negoti take place → octob septemb decemb → meet take place,4 → 22 → 18 → 13 → 22
11,take place mediat → meet take place → negoti take place → octob septemb decemb → coalit strateg launch,4 → 22 → 18 → 13 → 7
11,take place mediat → meet take place → negoti take place → octob septemb decemb → take place mediat,4 → 22 → 18 → 13 → 4
11,take place mediat → meet take place → negoti take place → juli meet immedi,4 → 22 → 18 → 21
11,take place mediat → meet take place → negoti take place → negoti take place,4 → 22 → 18 → 18
11,take place mediat → meet take place → govern congoles congo,4 → 22 → 44
11,take place mediat → meet take place → sign meet comprehen → meet take place,4 → 22 → 0 → 22
11,take place mediat → meet take place → sign meet comprehen → cessat continu mediat,4 → 22 → 0 → 38
11,take place mediat → meet take place → sign meet comprehen → agreement implement reach,4 → 22 → 0 → 27
11,take place mediat → meet take place → octob septemb decemb → coalit strateg launch,4 → 22 → 13 → 7
11,take place mediat → meet take place → octob septemb decemb → parti meet reach,4 → 22 → 13 → 39
11,take place mediat → meet take place → lead ceasefir peac → govern state take,4 → 22 → 8 → 20
11,take place mediat → meet take place → lead agreement negoti,4 → 22 → 15
11,take place mediat → meet alreadi take → cessat continu mediat,4 → 9 → 38
11,take place mediat → meet alreadi take → effort progress lead → take place mediat,4 → 9 → 1 → 4
11,take place mediat → talk discuss take → coalit strateg launch,4 → 48 → 7
11,take place mediat → talk discuss take → juli meet immedi,4 → 48 → 21
11,take place mediat → troop deploy militia → cessat continu mediat,4 → 28 → 38
11,take place mediat → hold confer elect → take place mediat → take place mediat → coalit strateg launch,4 → 49 → 4 → 4 → 7
11,take place mediat → hold confer elect → take place mediat → take place mediat → talk discuss take,4 → 49 → 4 → 4 → 48
11,take place mediat → hold confer elect → take place mediat → take place mediat → meet take place,4 → 49 → 4 → 4 → 22
11,take place mediat → hold confer elect → take place mediat → effort progress lead,4 → 49 → 4 → 1
11,take place mediat → hold confer elect → take place mediat → coalit strateg launch,4 → 49 → 4 → 7
11,take place mediat → hold confer elect → take place mediat → agreement implement reach,4 → 49 → 4 → 27
11,take place mediat → hold confer elect → take place mediat → parti meet reach,4 → 49 → 4 → 39
11,take place mediat → hold confer elect → take place mediat → negoti take place → take place mediat,4 → 49 → 4 → 18 → 4
11,take place mediat → hold confer elect → cessat continu mediat → effort progress lead,4 → 49 → 38 → 1
11,take place mediat → hold confer elect → cessat continu mediat → take place mediat → take place mediat,4 → 49 → 38 → 4 → 4
11,take place mediat → hold confer elect → cessat continu mediat → talk discuss take,4 → 49 → 38 → 48
11,take place mediat → hold confer elect → cessat continu mediat → meet take place,4 → 49 → 38 → 22
11,take place mediat → hold confer elect → cessat continu mediat → agreement implement reach,4 → 49 → 38 → 27
11,take place mediat → hold confer elect → cessat continu mediat → parti meet reach,4 → 49 → 38 → 39
11,take place mediat → hold confer elect → cessat continu mediat → negoti take place,4 → 49 → 38 → 18
11,take place mediat → hold confer elect → cessat continu mediat → octob septemb decemb,4 → 49 → 38 → 13
11,take place mediat → hold confer elect → hold confer elect → take place mediat,4 → 49 → 49 → 4
11,take place mediat → hold confer elect → hold confer elect → juli meet immedi,4 → 49 → 49 → 21
11,take place mediat → hold confer elect → effort progress lead → cessat continu mediat,4 → 49 → 1 → 38
11,take place mediat → hold confer elect → effort progress lead → take place mediat,4 → 49 → 1 → 4
11,take place mediat → hold confer elect → meet take place → meet take place,4 → 49 → 22 → 22
11,take place mediat → hold confer elect → meet take place → octob septemb decemb,4 → 49 → 22 → 13
11,take place mediat → hold confer elect → commit agreement committe,4 → 49 → 11
11,take place mediat → hold confer elect → agreement implement reach → take place mediat,4 → 49 → 27 → 4
11,take place mediat → hold confer elect → agreement implement reach → juli meet immedi,4 → 49 → 27 → 21
11,take place mediat → hold confer elect → agreement implement reach → cessat continu mediat,4 → 49 → 27 → 38
11,take place mediat → hold confer elect → juli meet immedi → take place mediat,4 → 49 → 21 → 4
11,take place mediat → hold confer elect → govern state take → negoti take place,4 → 49 → 20 → 18
11,take place mediat → hold confer elect → govern state take → agreement implement reach,4 → 49 → 20 → 27
11,take place mediat → hold confer elect → negoti take place → effort progress lead,4 → 49 → 18 → 1
11,take place mediat → hold confer elect → octob septemb decemb → meet take place,4 → 49 → 13 → 22
11,take place mediat → hold confer elect → octob septemb decemb → take place mediat,4 → 49 → 13 → 4
11,take place mediat → hold confer elect → februari januari hold,4 → 49 → 19
11,take place mediat → group team take → establish develop implement → establish develop implement,4 → 41 → 43 → 43
11,take place mediat → group team take → govern state take,4 → 41 → 20
11,take place mediat → take place mediat → establish develop implement → establish develop implement → cessat continu mediat,4 → 4 → 43 → 43 → 38
11,take place mediat → take place mediat → establish develop implement → establish develop implement → negoti take place,4 → 4 → 43 → 43 → 18
11,take place mediat → take place mediat → establish develop implement → juli meet immedi,4 → 4 → 43 → 21
11,take place mediat → take place mediat → establish develop implement → govern state take,4 → 4 → 43 → 20
11,take place mediat → take place mediat → take place mediat → cessat continu mediat → cessat continu mediat,4 → 4 → 4 → 38 → 38
11,take place mediat → take place mediat → take place mediat → hold confer elect → take place mediat,4 → 4 → 4 → 49 → 4
11,take place mediat → take place mediat → take place mediat → hold confer elect → agreement implement reach,4 → 4 → 4 → 49 → 27
11,take place mediat → take place mediat → take place mediat → take place mediat → hold confer elect,4 → 4 → 4 → 4 → 49
11,take place mediat → take place mediat → take place mediat → take place mediat → govern congoles congo,4 → 4 → 4 → 4 → 44
11,take place mediat → take place mediat → take place mediat → take place mediat → negoti take place,4 → 4 → 4 → 4 → 18
11,take place mediat → take place mediat → take place mediat → establish develop implement → establish develop implement → agreement implement reach,4 → 4 → 4 → 43 → 43 → 27
11,take place mediat → take place mediat → take place mediat → establish develop implement → negoti take place,4 → 4 → 4 → 43 → 18
11,take place mediat → take place mediat → take place mediat → meet take place → agreement implement reach,4 → 4 → 4 → 22 → 27
11,take place mediat → take place mediat → take place mediat → agreement implement reach → agreement implement reach,4 → 4 → 4 → 27 → 27
11,take place mediat → take place mediat → take place mediat → agreement implement reach → cessat continu mediat,4 → 4 → 4 → 27 → 38
11,take place mediat → take place mediat → take place mediat → parti meet reach → take place mediat,4 → 4 → 4 → 39 → 4
11,take place mediat → take place mediat → take place mediat → sign meet comprehen → take place mediat,4 → 4 → 4 → 0 → 4
11,take place mediat → take place mediat → take place mediat → sign meet comprehen → establish develop implement,4 → 4 → 4 → 0 → 43
11,take place mediat → take place mediat → take place mediat → octob septemb decemb → take place mediat,4 → 4 → 4 → 13 → 4
11,take place mediat → take place mediat → take place mediat → negoti take place → parti meet reach,4 → 4 → 4 → 18 → 39
11,take place mediat → take place mediat → take place mediat → negoti take place → establish develop implement,4 → 4 → 4 → 18 → 43
11,take place mediat → take place mediat → take place mediat → negoti take place → cessat continu mediat,4 → 4 → 4 → 18 → 38
11,take place mediat → take place mediat → take place mediat → process take place,4 → 4 → 4 → 2
11,take place mediat → take place mediat → take place mediat → region nation tribe,4 → 4 → 4 → 17
11,take place mediat → take place mediat → cessat continu mediat → take place mediat → talk discuss take,4 → 4 → 38 → 4 → 48
11,take place mediat → take place mediat → cessat continu mediat → take place mediat → establish develop implement,4 → 4 → 38 → 4 → 43
11,take place mediat → take place mediat → cessat continu mediat → establish develop implement → take place mediat,4 → 4 → 38 → 43 → 4
11,take place mediat → take place mediat → cessat continu mediat → meet take place → take place mediat,4 → 4 → 38 → 22 → 4
11,take place mediat → take place mediat → cessat continu mediat → negoti take place → octob septemb decemb,4 → 4 → 38 → 18 → 13
11,take place mediat → take place mediat → cessat continu mediat → lead ceasefir peac,4 → 4 → 38 → 8
11,take place mediat → take place mediat → hold confer elect → effort progress lead,4 → 4 → 49 → 1
11,take place mediat → take place mediat → hold confer elect → hold confer elect,4 → 4 → 49 → 49
11,take place mediat → take place mediat → hold confer elect → negoti take place,4 → 4 → 49 → 18
11,take place mediat → take place mediat → hold confer elect → reconcili refus resum,4 → 4 → 49 → 30
11,take place mediat → take place mediat → effort progress lead → agreement implement reach,4 → 4 → 1 → 27
11,take place mediat → take place mediat → effort progress lead → octob septemb decemb,4 → 4 → 1 → 13
11,take place mediat → take place mediat → effort progress lead → reconcili refus resum,4 → 4 → 1 → 30
11,take place mediat → take place mediat → coalit strateg launch → meet take place,4 → 4 → 7 → 22
11,take place mediat → take place mediat → coalit strateg launch → octob septemb decemb,4 → 4 → 7 → 13
11,take place mediat → take place mediat → talk discuss take → agreement implement reach,4 → 4 → 48 → 27
11,take place mediat → take place mediat → talk discuss take → effort progress lead,4 → 4 → 48 → 1
11,take place mediat → take place mediat → meet take place → establish develop implement → take place mediat,4 → 4 → 22 → 43 → 4
11,take place mediat → take place mediat → meet take place → hold confer elect,4 → 4 → 22 → 49
11,take place mediat → take place mediat → meet take place → repres repre govern,4 → 4 → 22 → 23
11,take place mediat → take place mediat → meet take place → take place mediat → meet take place → meet take place,4 → 4 → 22 → 4 → 22 → 22
11,take place mediat → take place mediat → meet take place → take place mediat → meet take place → meet take place → meet take place,4 → 4 → 22 → 4 → 22 → 22 → 22
11,take place mediat → take place mediat → meet take place → take place mediat → juli meet immedi,4 → 4 → 22 → 4 → 21
11,take place mediat → take place mediat → meet take place → take place mediat → coalit strateg launch,4 → 4 → 22 → 4 → 7
11,take place mediat → take place mediat → meet take place → take place mediat → effort progress lead,4 → 4 → 22 → 4 → 1
11,take place mediat → take place mediat → meet take place → meet take place → meet take place → meet take place → meet take place,4 → 4 → 22 → 22 → 22 → 22 → 22
11,take place mediat → take place mediat → meet take place → cessat continu mediat → cessat continu mediat,4 → 4 → 22 → 38 → 38
11,take place mediat → take place mediat → meet take place → negoti take place → octob septemb decemb,4 → 4 → 22 → 18 → 13
11,take place mediat → take place mediat → meet take place → govern congoles congo,4 → 4 → 22 → 44
11,take place mediat → take place mediat → meet take place → parti meet reach → effort progress lead,4 → 4 → 22 → 39 → 1
11,take place mediat → take place mediat → meet take place → sign meet comprehen,4 → 4 → 22 → 0
